original_ID,text_1,text_2,text_3,text_4,text_5,text_6,start_year,end_year,conflict_type_original_coding,continent_original_coding,source_total_deaths,source_battle_deaths,notes,Source_ID
,"Name: England (Henry IV vs Richard II), 1400",,,,,,1400,1400,,3,,,,1
,"Name: England-Scotland, 1400-02",,,,,,1400,1402,,3,,,,2
,"Name: Mongols (Timur)-Georgia, 1400",,,,,,1400,1400,,4,,,,3
,"Name: Mongols (Timur)-Turkey, 1400",,,,,,1400,1400,,4,,,,4
,"Name: Mongols (Timur)-Egypt, Syria (Burji Mamluks), 1400-01",,,,,,1400,1401,,5,,,,5
,"Name: China (minority in Hebei, Shandong, Anhui, Jiangsu), 1400-02",,,,,,1400,1402,,12,10000,,,6
,"Name: Emperor (Rupert)-Milan, 1401-2",,,,,,1401,1402,,3,,,,7
,"Name: Hungary, 1401",,,,,,1401,1401,,3,,,,8
,"Name: Russia-Lithuania, 1401-04",,,,,,1401,1404,,4,,,,9
,"Name: Mongols-Iraq (revolt in Baghdad), 1401",,,,,,1401,1401,,5,,,,10
,"Name: Arakon-Ava (Burma), 1401-10",,,,,,1401,1410,,11,,,,11
,"Name: Pegu-Ava (Burma), 1401",,,,,,1401,1401,,11,,,,12
,"Name: Mujapahit (India, civil war), 1401-06",,,,,,1401,1406,,10,,,,13
,"Name: China-Japanese pirates (Zhejiang), 1401",,,,,,1401,1401,,12,,,,14
,"Name: Korea (coup), 1401",,,,,,1401,1401,,12,,,,15
,"Name: Mongols (Timur)-Turkey (Ottomans), 1402",,,,,,1402,1402,,4,,,,16
,"Name: Mongols (Timur)-Rhodes (Knights of) (Smyrna), 1402",,,,,,1402,1402,,4,,,,17
,"Name: Milan (succession, with intervention by Venice), 1402-12",,,,,,1402,1412,,3,,,,18
,"Name: England (Wales, with intervention by France), 1402-09",CommonName: Glendower's Revolt,,,,,1402,1409,,3,2700,,,19
,"Name: Spain-Canary Islands, 1402-22",,,,,,1402,1422,,3,,,,20
,"Name: Scotland-England, 1402-03",,,,,,1402,1403,,3,3000,,,21
,"Name: Naples-Hungary, 1402-3",,,,,,1402,1403,,3,,,,22
,"Name: Turkey-India (Turco?), 1402",,,,,,1402,1402,,9,,,,23
,"Name: England, 1403",CommonName: Revolt of the Percys,,,,,1403,1403,,3,300,,,24
,"Name: Venice-Genoa, 1403",,,,,,1403,1403,,3,,,,25
,"Name: Appenzell, Swiss Confederation-Abbey of St. Gall, Austria, Germany, 1403-11",,,,,,1403,1411,,3,,,,26
,"Name: Swiss Confederation-Savoy, 1403-16",,,,,,1403,1416,,3,,,,27
,"Name: France (Jews), 1403",,,,,,1403,1403,,3,,,,28
,"Name: Turkey, 1403-13",CommonName: Ottoman Civil War,,,,,1403,1413,,4,,,,29
,"Name: Mongols (Timur)-Georgia, 1403",,,,,,1403,1403,,4,,,,30
,"Name: China-Tartars (Liaoning), 1403",,,,,,1403,1403,,12,,,,31
,"Name: China (Jiangxi), 1403",,,,,,1403,1403,,12,,,,32
,"Name: Venice-Padua, Verona, Vicenze, 1404-05",,,,,,1404,1405,,3,,,,33
,"Name: Swiss Confederation-Austria, 1404-08",,,,,,1404,1408,,3,,,,34
,"Name: Denmark-Holstein, Hanse towns (from 1426), 1404-35",,,,,,1404,1435,,3,,,,35
,"Name: France-Marinid Caliphate?(Morocco), 1404-05",,,,,,1404,1405,,6,,,,36
,"Name: Ava-Arakan, 1404",,,,,,1404,1404,,11,,,,37
,"Name: England (York and Nottingham), 1405",CommonName: Conspiracy of Scrope,,,,,1405,1405,,3,300,,,38
,"Name: Lithuania-Russia, 1405",,,,,,1405,1405,,4,,,,39
,"Name: Hungary (Sigismund)-Bosnia (Waldenses), 1405",,,,,,1405,1405,,4,,,,40
,"Name: Naples-pope, Anjou, Florence, Siena, emperor, 1405-12",,,,,,1405,1412,,3,,,,41
,"Name: France (Burgundian civil war), 1405-07",,,,,,1405,1407,,3,1440,,,42
,"Name: Spain-Western Sahara (Cape Bogador), 1405",,,,,,1405,1405,,6,,,,43
,"Name: China-Annam (Vietnam), 1405-28",,,,,,1405,1428,,11,,,,44
,"Name: China (Yunnan), 1405",,,,,,1405,1405,,12,,,,45
,"Name: Muscovy-Poland, Lithuania, 1406-08",CommonName: Russo-Lithuanian War with Vitoft?,,,,,1406,1408,,4,12800,,,46
,"Name: Muscovy-Volga, Tartars, 1406-08",CommonName: Invasion of Edigey?,,,,,1406,1408,,4,1200,,,47
,"Name: Hungary (Sigismund)-Bosnia, 1406-09",,,,,,1406,1409,,4,,,,48
,"Name: Castile-Granada, 1406-10",,,,,,1406,1410,,3,,,,49
,"Name: Florence-Pisa, 1406",,,,,,1406,1406,,3,,,,50
,"Name: France-England (Normandy), 1406",,,,,,1406,1406,,3,,,,51
,"Name: Pegu-Ava (Burma), 1406-10",,,,,,1406,1410,,11,,,,52
,"Name: Ava-Shan (Burma), 1406",,,,,,1406,1406,,11,,,,53
,"Name: Bahmanis-Vijayanagar (India), 1406",,,,,,1406,1406,,10,,,,54
,"Name: China (Henan), 1406",,,,,,1406,1406,,12,,,,55
,"Name: China (Yunnan), 1406-07",,,,,,1406,1407,,12,,,,56
,"Name: China-Japanese pirates (Liaoning), 1406",,,,,,1406,1406,,12,,,,57
,"Name: Naples (succession), 1407-12",,,,,,1407,1412,,3,,,,58
,"Name: Holland, 1407-27",,,,,,1407,1427,,3,,,,59
,"Name: Hungary (Sigismund)-Bosnia (Waldenses), 1407",,,,,,1407,1407,,4,,,,60
,"Name: Ava-Mon (Burma), 1407-12",,,,,,1407,1412,,11,,,,61
